Date,Price,Generation
2024-01-01 00:00:00+00:00,32.935833333333335,1704.2849999999999
2024-01-02 00:00:00+00:00,53.58916666666667,2923.1091666666666
2024-01-03 00:00:00+00:00,45.965,3061.8575
2024-01-04 00:00:00+00:00,85.41000000000001,2424.8395833333334
2024-01-05 00:00:00+00:00,91.37041666666666,2037.9504166666666
2024-01-06 00:00:00+00:00,88.78166666666668,1568.3862500000002
2024-01-07 00:00:00+00:00,87.03666666666668,878.7225
2024-01-08 00:00:00+00:00,102.67708333333333,659.7195833333334
2024-01-09 00:00:00+00:00,109.39458333333334,299.89375
2024-01-10 00:00:00+00:00,111.62541666666665,273.1820833333333
2024-01-11 00:00:00+00:00,109.64791666666667,556.3054166666667
2024-01-12 00:00:00+00:00,105.06,1056.2183333333332
2024-01-13 00:00:00+00:00,70.30375,3269.7954166666664
2024-01-14 00:00:00+00:00,75.82416666666667,2606.4950000000003
2024-01-15 00:00:00+00:00,86.91208333333333,1973.4083333333335
2024-01-16 00:00:00+00:00,103.02291666666667,1083.4658333333334
2024-01-17 00:00:00+00:00,97.5225,2366.655416666667
2024-01-18 00:00:00+00:00,92.40458333333333,1842.8033333333333
2024-01-19 00:00:00+00:00,77.69458333333334,2533.85
2024-01-20 00:00:00+00:00,73.21541666666667,2509.02
2024-01-21 00:00:00+00:00,49.961666666666666,3270.6062500000003
2024-01-22 00:00:00+00:00,47.986250000000005,3383.8429166666665
2024-01-23 00:00:00+00:00,48.024166666666666,3306.0025
2024-01-24 00:00:00+00:00,33.42,3406.63625
2024-01-25 00:00:00+00:00,76.26791666666666,2149.724583333333
2024-01-26 00:00:00+00:00,55.794999999999995,3087.4654166666664
2024-01-27 00:00:00+00:00,57.477916666666665,2267.6974999999998
2024-01-28 00:00:00+00:00,54.91375,2416.61625
2024-01-29 00:00:00+00:00,77.71458333333334,1201.22
2024-01-30 00:00:00+00:00,66.49375,1660.8770833333335
2024-01-31 00:00:00+00:00,47.71416666666667,3040.6045833333333
